Depth 1: 패션의류/잡화  categoryid= None
    Depth 3: 위생백/비닐봉투  categoryid= 186260
    Depth 3: 일회용컵  categoryid= 186260
    Depth 3: 일회용수저  categoryid= 186260
    Depth 3: 일회용용기/도시락  categoryid= 186260
    Depth 3: 배달일회용용품  categoryid= 186260
    Depth 3: 빨대/스트로우  categoryid= 186260
    Depth 3: 기타주방일회용품  categoryid= 186260
  Depth 2: 보온/보냉용품  categoryid= 185955
    Depth 3: 보온/보냉병  categoryid= 185955
    Depth 3: 보온/보냉도시락  categoryid= 185955
    Depth 3: 보온죽통/푸드자  categoryid= 185955
    Depth 3: 보온/보냉텀블러  categoryid= 185955
    Depth 3: 보온/보냉주전자  categoryid= 185955
    Depth 3: 아이스박스/아이스팩  categoryid= 185955
    Depth 3: 아이스물통/워터저그  categoryid= 185955
    Depth 3: 쿨러백/보온보냉소품  categoryid= 185955
  Depth 2: 1인가구 주방용품  categoryid= 429840
    Depth 3: 1인 식기세트  categoryid= 429840
    Depth 3: 샐러드볼/시리얼볼  categoryid= 429840
    Depth 3: 미니밥솥  categoryid= 429840
    Depth 3: 냉동밥 보관용기  categoryid= 429840
    Depth 3: 홈바  categoryid= 429840
